code;Genre;Group
/m/0pym5;Absurdist fiction;Comedy
/m/03k9fj;Adventure;
/m/08sdrw;Adventure novel;
/m/08w0_f;Albino bias;
/m/0l13q;Alien invasion;Science Fiction
/m/0mz2;Alternate history;Fiction
/m/06_wph7;American Gothic Fiction;Fiction,Horror
/m/01tz3c;Anthology;
/m/0h5k;Anthropology;
/m/08jhkx;Anti-nuclear;
/m/01fc50;Anti-war;
/m/0hc1z;Apocalyptic and post-apocalyptic fiction;Fiction
/m/03pm2b;Autobiographical comics;Biography
/m/012jgz;Autobiographical novel;Biography
/m/0xdf;Autobiography;Biography
/m/03v9sb;Bangsian fantasy;Fantasy
/m/01jym;Bildungsroman;
/m/027mvb9;Biographical novel;Fiction
/m/017fp;Biography;Biography
/m/03t3dt;Biopunk;Science Fiction
/m/05v6bm4;Bit Lit;Fantasy
/m/0vgkd;Black comedy;Comedy
/m/04bc5fy;Boys' school stories;
/m/09s1f;Business;Nonfiction
/m/01_nl;Cabal;
/m/07z5s9;Campus novel;
/m/09vxq_p;Catastrophic literature;
/m/03h09f;Chick lit;Fiction
/m/0dwly;Children's literature;
/m/050z5g;Chivalric romance;Romance
/m/01bsxb;Collage;
/m/05nd8c5;Colonial United States romance;Romance
/m/01z4y;Comedy;Comedy
/m/03p5xs;Comedy of manners;Comedy
/m/01vnb;Comic book;Comics
/m/0246p;Comic fantasy;Fantasy
/m/02yq81;Comic novel;Comedy
/m/0hh4w;Comic science fiction;Science Fiction
/m/012h24;Comics;Comics
/m/01j1n2;Coming of age;
/m/01mkq;Computer Science;
/m/099v5d;Conspiracy;
/m/0594kx;Conspiracy fiction;
/m/0134b1;Contemporary fantasy;Fantasy
/m/01kqty;Cookbook;Nonfiction
/m/0463v20;Cozy;
/m/01ng1k;Creative Nonfiction;Nonfiction
/m/0lsxr;Crime Fiction;Detective Fiction
/m/01qpc;Cyberpunk;Science Fiction
/m/04n87l;Dark fantasy;Fantasy
/m/028v3;Detective fiction;Detective Fiction
/m/07s9rl0;Drama;Drama
/m/06qk2l;Dying Earth subgenre;Science Fiction
/m/026ny;Dystopia;Fiction
/m/02j62;Economics;Nonfiction
/m/06bm_y;Edisonade;Science Fiction
/m/02jfc;Education;Nonfiction
/m/05nd8cc;Elizabethan romance;Romance
/m/02jfw;Encyclopedia;Nonfiction
/m/04bc5fq;English public-school stories;Fiction
/m/05mpfk;Epic Science Fiction and Fantasy;Science Fiction,Fantasy
/m/02ql9;Epistolary novel;
/m/037750;Ergodic literature;
/m/02js9;Erotica;
/m/02t97;Essay;Nonfiction
/m/02m4t;Existentialism;Nonfiction
/m/0f4gps;Experimental literature;
/m/031mk;Fable;
/m/0bxg3;Fairy tale;
/m/078lw_;Fairytale fantasy;Fantasy
/m/02w77n;Fantastique;Fantasy
/m/01hmnh;Fantasy;Fantasy
/m/057pyk;Fantasy of manners;Fantasy
/m/011ys5;Farce;Comedy
/m/02_w8;Feminist science fiction;Science Fiction
/m/02xlf;Fiction;Fiction
/m/02twf_;Fictional crossover;
/m/02hwgm;Field guide;Nonfiction
/m/0hgws;First-person narrative;
/m/01j6zc;Foreign legion;
/m/0bt0c;Future history;Science Fiction
/m/03ff00;Gamebook;Fiction
/m/0cgx58;Gay novel;
/m/04tkhfk;Gay Themed;
/m/05nd8bf;Georgian romance;Romance
/m/048945;Ghost story;Fiction
/m/039vk;Gothic fiction;Fiction
/m/0py0z;Graphic novel;Comics
/m/03lrw;Hard science fiction;Science Fiction
/m/03xj9g;Hardboiled;Detective Fiction
/m/03dw_3;Heroic fantasy;Fantasy
/m/03qfd;High fantasy;Fantasy
/m/035qb4;Historical fantasy;Fantasy
/m/02p0szs;Historical fiction;
/m/0hwxm;Historical novel;
/m/02w06c6;Historical romance;
/m/0py65;Historical whodunnit;
/m/03g3w;History;Nonfiction
/m/03npn;Horror;Horror
/m/0587vh;Human extinction;Fiction
/m/09kqc;Humour;Comedy
/m/04f2l4d;Indian chick lit;Fiction
/m/0blvpd;Industrial novel;
/m/03rllnc;Inspirational;
/m/090ts5;Invasion literature;
/m/017ssy;Juvenile fantasy;Fantasy
/m/04fqp;Künstlerroman;
/m/065q54;LGBT literature;
/m/06b_0_;Light novel;
/m/0dh53;Literary criticism;
/m/0488wh;Literary fiction;Fiction
/m/026llv5;Literary realism;
/m/0dh4n;Literary theory;
/m/0174gw;Locked room mystery;Detective Fiction
/m/08g5mv;Lost World;Fantasy
/m/04gtgp;Low fantasy;Fantasy
/m/0127jb;Magic realism;Fiction
/m/0g4gr;Marketing;Nonfiction
/m/0crjhv8;Mashup;
/m/04rjg;Mathematics;Nonfiction
/m/05nd8bm;Medieval romance;Romance
/m/016chh;Memoir;Biography
/m/04s0m;Metaphysics;Nonfiction
/m/050yl;Military history;
/m/01smf2;Military science fiction;Science Fiction
/m/04y41;Modernism;
/m/0c5jx;Morality play;
/m/04rlf;Music;
/m/02n4kr;Mystery;
/m/0fq56vk;Mystery;
/m/05h0n;Nature;
/m/05ndg1r;Naval adventure;
/m/05b6c;Neuroscience;
/m/06n94f;New Weird;
/m/0kz5r;New York Times Best Seller list;
/m/05h83;Non-fiction;Nonfiction
/m/0277ppz;Non-fiction novel;Nonfiction
/m/05hgj;Novel;
/m/0l67h;Novella;
/m/0fr3y1;Parallel novel;
/m/072lff;Paranormal romance;Romance
/m/0gf28;Parody;Comedy
/m/0hfwv;Pastiche;
/m/02gsv;Personal journal;Biography
/m/037mh8;Philosophy;Nonfiction
/m/05wkw;Photography;
/m/0g_jj;Picaresque novel;
/m/016475;Picture book;
/m/04chq5;Planetary romance;Science Fiction,Romance
/m/05qp9;Play;
/m/05qgc;Poetry;
/m/022444;Polemic;
/m/02fgmn;Police procedural;
/m/05r79;Political philosophy;
/m/05qt0;Politics;
/m/0g6p2;Popular culture;Nonfiction
/m/01p4b_;Popular science;Nonfiction
/m/0f0jjz;Pornography;
/m/0c3mj;Postcyberpunk;Science Fiction
/m/07lw0y;Post-holocaust;Science Fiction
/m/05wkc;Postmodernism;
/m/0dq0q;Prose;
/m/017k4z;Prose poetry;
/m/059r08;Psychological novel;
/m/05qfh;Psychology;
/m/0d6gr;Reference;
/m/03xwcv;Regency romance;Romance
/m/06bvp;Religion;
/m/02mdj1;Religious text;
/m/06gtzk;Robinsonade;Fiction
/m/06c9r;Role-playing game;
/m/016lj8;Roman à clef;
/m/01qxvh;Romance novel;Romance
/m/06cvj;Romantic comedy;Comedy,Romantique
/m/06nbt;Satire;
/m/09tvt3;School story;
/m/06mq7;Science;
/m/01rvlb;Science fantasy;Science Fiction,Fantasy
/m/06n90;Science Fiction;Science Fiction
/m/01gw42;Scientific romance;Romance
/m/07m5w1;Sea story;
/m/012lzc;Self-help;Nonfiction
/m/02x35fs;Serial;
/m/0707q;Short story;
/m/03nhxh;Social commentary;
/m/02p6xz3;Social criticism;
/m/0276pxr;Social novel;
/m/06m9m8;Social science fiction;Science Fiction
/m/06n6p;Social sciences;
/m/06ms6;Sociology;
/m/070l2;Soft science fiction;Science Fiction
/m/070yc;Space opera;
/m/09zvmj;Space western;Science Fiction
/m/014dfn;Speculative fiction;Fiction
/m/070wm;Spirituality;
/m/01z02hx;Sports;
/m/06wkf;Spy fiction;
/m/06www;Steampunk;Science Fiction
/m/07fwvc;Subterranean fiction;Science Fiction
/m/03c6vbs;Superhero fiction;Fiction
/m/0fdjb;Supernatural;
/m/0c3351;Suspense;Thriller
/m/07ps83;Sword and planet;Science Fiction,Fantasy
/m/0dz8b;Sword and sorcery;Fantasy
/m/017rf8;Techno-thriller;Thriller
/m/01jfsb;Thriller;Thriller
/m/07s2s;Time travel;Science Fiction
/m/0q9mp;Tragicomedy;Drama,Comedy
/m/02qg536;Transgender and transsexual fiction;
/m/07g8l;Transhumanism;
/m/014dsx;Travel;
/m/04z2hx;Travel literature;
/m/02rx5hc;Treatise;
/m/01pwbn;True crime;Nonfiction
/m/02vzzv;Urban fantasy;Fantasy
/m/084s13;Urban fiction;Fiction
/m/0c082;Utopian and dystopian fiction;
/m/04xg5kr;Utopian fiction;
/m/0kflf;Vampire fiction;
/m/098tmk;War novel;
/m/0hfjk;Western;Fiction
/m/025txgl;Western fiction;Fiction
/m/0j5nm;Whodunit;Detective Fiction
/m/08322;Wuxia;
/m/03mfnf;Young adult literature;
/m/021dfr;Youth;
/m/089m7;Zombie;Science Fiction
/m/02psyd2;Zombies in popular culture;Science Fiction
